wl,lomandra1
470.81,5.662
471.01,5.6635
471.21,5.661
471.41,5.6545
471.61,5.6505
471.8,5.649
472,5.6475
472.2,5.642
472.4,5.6445
472.6,5.6405
472.8,5.639
473,5.6375
473.2,5.635
473.39,5.6315
473.59,5.628
473.79,5.626
473.99,5.6265
474.19,5.621
474.39,5.6185
474.59,5.6215
474.78,5.621
474.98,5.6245
475.18,5.622
475.38,5.625
475.58,5.62
475.78,5.6215
475.98,5.6285
476.17,5.622
476.37,5.6195
476.57,5.6215
476.77,5.622
476.97,5.6215
477.17,5.6225
477.37,5.6205
477.56,5.619
477.76,5.6225
477.96,5.624
478.16,5.6235
478.36,5.6175
478.56,5.617
478.75,5.616
478.95,5.6135
479.15,5.612
479.35,5.617
479.55,5.62
479.75,5.626
479.94,5.628
480.14,5.624
480.34,5.6305
480.54,5.636
480.74,5.645
480.94,5.65
481.13,5.656
481.33,5.6635
481.53,5.663
481.73,5.6655
481.93,5.668
482.13,5.6705
482.32,5.6685
482.52,5.6695
482.72,5.6685
482.92,5.6695
483.12,5.67
483.31,5.674
483.51,5.675
483.71,5.6735
483.91,5.675
484.11,5.6745
484.31,5.675
484.5,5.676
484.7,5.6765
484.9,5.675
485.1,5.677
485.3,5.68
485.49,5.681
485.69,5.6825
485.89,5.6835
486.09,5.6845
486.29,5.6855
486.48,5.6885
486.68,5.6875
486.88,5.6885
487.08,5.6895
487.28,5.6905
487.47,5.6915
487.67,5.695
487.87,5.695
488.07,5.697
488.26,5.6995
488.46,5.7005
488.66,5.702
488.86,5.703
489.06,5.7035
489.25,5.7025
489.45,5.7
489.65,5.706
489.85,5.7085
490.05,5.711
490.24,5.7115
490.44,5.717
490.64,5.718
490.84,5.7205
491.03,5.726
491.23,5.7265
491.43,5.7285
491.63,5.729
491.82,5.7365
492.02,5.738
492.22,5.7425
492.42,5.7475
492.61,5.7505
492.81,5.753
493.01,5.7585
493.21,5.763
493.41,5.7695
493.6,5.7745
493.8,5.7775
494,5.7805
494.2,5.7885
494.39,5.795
494.59,5.801
494.79,5.808
494.99,5.8165
495.18,5.826
495.38,5.8345
495.58,5.8405
495.78,5.847
495.97,5.857
496.17,5.8685
496.37,5.8825
496.56,5.891
496.76,5.901
496.96,5.9075
497.16,5.916
497.35,5.9235
497.55,5.94
497.75,5.9465
497.95,5.948
498.14,5.9615
498.34,5.969
498.54,5.979
498.74,5.987
498.93,5.9985
499.13,6.0005
499.33,6.014
499.52,6.0225
499.72,6.035
499.92,6.045
500.12,6.054
500.31,6.0635
500.51,6.0775
500.71,6.0925
500.9,6.1035
501.1,6.123
501.3,6.14
501.5,6.1515
501.69,6.1685
501.89,6.1915
502.09,6.211
502.28,6.2245
502.48,6.2405
502.68,6.2585
502.88,6.278
503.07,6.2915
503.27,6.3015
503.47,6.315
503.66,6.335
503.86,6.351
504.06,6.37
504.25,6.389
504.45,6.4095
504.65,6.4305
504.85,6.454
505.04,6.472
505.24,6.494
505.44,6.5195
505.63,6.5375
505.83,6.5625
506.03,6.5935
506.22,6.6125
506.42,6.6335
506.62,6.658
506.81,6.681
507.01,6.7035
507.21,6.727
507.4,6.7445
507.6,6.767
507.8,6.786
507.99,6.8095
508.19,6.8365
508.39,6.86
508.58,6.8815
508.78,6.908
508.98,6.9365
509.17,6.9625
509.37,6.988
509.57,7.0145
509.76,7.0435
509.96,7.069
510.16,7.097
510.35,7.122
510.55,7.1425
510.75,7.168
510.94,7.197
511.14,7.223
511.34,7.253
511.53,7.281
511.73,7.3105
511.93,7.3395
512.12,7.367
512.32,7.3985
512.52,7.4245
512.71,7.4525
512.91,7.4855
513.11,7.5205
513.3,7.553
