Online Appendix to Endler & Mielke 2005
Values *  100         UV - type eye                               V - type eye
WAVELN     UVS+T     SWS+C     MWS+Y     LWS+R         UVS+T     SWS+C     MWS+Y     LWS+R
 553.0  0.000000  0.006135  1.773340  0.000409      0.000046  0.028345  1.711798  0.001552
 554.0  0.000000  0.005573  1.739200  0.000684      0.000042  0.025810  1.677546  0.002394
 555.0  0.000000  0.005062  1.702865  0.001110      0.000038  0.023498  1.641613  0.003601
 556.0  0.000000  0.004599  1.664567  0.001755      0.000035  0.021392  1.604200  0.005295
 557.0  0.000000  0.004179  1.624532  0.002703      0.000032  0.019472  1.565496  0.007617
 558.0  0.000000  0.003797  1.582979  0.004062      0.000029  0.017724  1.525686  0.010734
 559.0  0.000000  0.003451  1.540123  0.005965      0.000026  0.016132  1.484944  0.014834
 560.0  0.000000  0.003137  1.496169  0.008570      0.000024  0.014682  1.443436  0.020127
 561.0  0.000000  0.002853  1.451315  0.012061      0.000022  0.013363  1.401320  0.026838
 562.0  0.000000  0.002594  1.405751  0.016648      0.000020  0.012163  1.358743  0.035204
 563.0  0.000000  0.002359  1.359658  0.022559      0.000018  0.011071  1.315848  0.045467
 564.0  0.000000  0.002146  1.313209  0.030042      0.000017  0.010078  1.272765  0.057866
 565.0  0.000000  0.001953  1.266566  0.039355      0.000015  0.009174  1.229621  0.072633
 566.0  0.000000  0.001777  1.219884  0.050761      0.000014  0.008352  1.186531  0.089982
 567.0  0.000000  0.001618  1.173309  0.064517      0.000013  0.007605  1.143605  0.110103
 568.0  0.000000  0.001473  1.126976  0.080871      0.000012  0.006925  1.100944  0.133154
 569.0  0.000000  0.001341  1.081013  0.100049      0.000011  0.006307  1.058644  0.159258
 570.0  0.000000  0.001222  1.035538  0.122249      0.000010  0.005745  1.016792  0.188493
 571.0  0.000000  0.001113  0.990661  0.147632      0.000009  0.005233  0.975470  0.220896
 572.0  0.000000  0.001014  0.946483  0.176318      0.000008  0.004768  0.934753  0.256453
 573.0  0.000000  0.000925  0.903095  0.208379      0.000008  0.004345  0.894710  0.295103
 574.0  0.000000  0.000843  0.860581  0.243834      0.000007  0.003960  0.855405  0.336737
 575.0  0.000000  0.000769  0.819018  0.282652      0.000006  0.003610  0.816894  0.381201
 576.0  0.000000  0.000701  0.778471  0.324747      0.000006  0.003292  0.779230  0.428298
 577.0  0.000000  0.000640  0.739000  0.369979      0.000005  0.003002  0.742460  0.477792
 578.0  0.000000  0.000584  0.700657  0.418162      0.000005  0.002738  0.706625  0.529413
 579.0  0.000000  0.000533  0.663485  0.469060      0.000004  0.002498  0.671760  0.582864
 580.0  0.000000  0.000487  0.627521  0.522398      0.000004  0.002279  0.637898  0.637823
 581.0  0.000000  0.000445  0.592793  0.577864      0.000004  0.002080  0.605065  0.693953
 582.0  0.000000  0.000406  0.559324  0.635117      0.000003  0.001899  0.573283  0.750905
 583.0  0.000000  0.000371  0.527129  0.693794      0.000003  0.001734  0.542569  0.808324
 584.0  0.000000  0.000340  0.496218  0.753515      0.000003  0.001584  0.512937  0.865856
 585.0  0.000000  0.000310  0.466593  0.813889      0.000003  0.001447  0.484394  0.923149
 586.0  0.000000  0.000284  0.438254  0.874525      0.000002  0.001322  0.456947  0.979864
 587.0  0.000000  0.000260  0.411190  0.935031      0.000002  0.001209  0.430594  1.035673
 588.0  0.000000  0.000238  0.385391  0.995024      0.000002  0.001105  0.405333  1.090263
 589.0  0.000000  0.000218  0.360839  1.054136      0.000002  0.001010  0.381158  1.143344
 590.0  0.000000  0.000199  0.337511  1.112013      0.000002  0.000924  0.358057  1.194645
 591.0  0.000000  0.000183  0.315385  1.168324      0.000002  0.000845  0.336019  1.243919
 592.0  0.000000  0.000167  0.294430  1.222761      0.000002  0.000774  0.315025  1.290943
 593.0  0.000000  0.000153  0.274615  1.275041      0.000001  0.000708  0.295058  1.335520
 594.0  0.000000  0.000140  0.255907  1.324910      0.000001  0.000648  0.276095  1.377477
 595.0  0.000000  0.000129  0.238270  1.372141      0.000001  0.000594  0.258112  1.416670
 596.0  0.000000  0.000118  0.221666  1.416538      0.000001  0.000544  0.241085  1.452977
 597.0  0.000000  0.000108  0.206056  1.457933      0.000001  0.000498  0.224984  1.486300
 598.0  0.000000  0.000099  0.191401  1.496187      0.000001  0.000457  0.209780  1.516568
 599.0  0.000000  0.000091  0.177659  1.531191      0.000001  0.000419  0.195444  1.543729
